,KTB E1(%),KTC E2(%),SKB E3(%),SKC E4(%),Mean Distance
1,-0.4,3.0,1.0,1.4000000000000001,0.0023467672306045
2,-0.6,2.8000000000000003,0.8,1.2,0.0023509254597899334
3,-0.8,2.6,0.6,1.0,0.002355098245175726
4,-0.2,3.0,1.2,1.4000000000000001,0.0023572632132399214
5,-1.0,2.4,0.4,0.8,0.0023592856619468693
6,-0.4,2.8000000000000003,1.0,1.2,0.002361424411179977
7,-1.2,2.1999999999999997,0.2,0.6,0.0023634877857944834
8,-0.6,3.0,0.8,1.4000000000000001,0.002365385960276163
9,-0.6,2.6,0.8,1.0,0.0023656000526334196
10,-1.4000000000000001,2.0,0.0,0.4,0.00236770469291991
