,KTB E1(%),KTC E2(%),SKB E3(%),SKC E4(%),Mean Distance
1,1.2,4.0,4.0,1.4000000000000001,0.016392229078720427
2,1.0999999999999999,4.0,4.0,1.3,0.016394231486316174
3,1.0999999999999999,3.9,4.0,1.2,0.016399230052180608
4,1.0999999999999999,4.0,3.9,1.4000000000000001,0.01640008791329967
5,1.2,3.9,4.0,1.3,0.01640090683011024
6,1.0999999999999999,3.8,4.0,1.0999999999999999,0.016404746007182187
7,1.0,4.0,4.0,1.2,0.016404971623157467
8,1.0,4.0,3.9,1.3,0.016405458684626614
9,1.0999999999999999,3.9,3.9,1.3,0.016407502925534386
10,1.0,3.9,4.0,1.0999999999999999,0.01640982197722236
11,1.0,4.0,3.8,1.4000000000000001,0.016409921718396177
12,1.2,3.8,4.0,1.2,0.016409995819187978
13,1.0,3.9,3.9,1.2,0.016410348986431754
14,1.0999999999999999,3.6999999999999997,4.0,1.0,0.01641079546134673
15,0.8,4.0,4.0,0.8999999999999999,0.016411363605295718
16,0.8999999999999999,4.0,4.0,1.0,0.016412493603696024
17,1.3,4.0,4.0,1.5,0.016414219703713567
18,1.0,3.8,4.0,1.0,0.01641468059607436
19,1.0,3.8,3.9,1.0999999999999999,0.016415247671680643
20,0.8999999999999999,4.0,4.0,1.0999999999999999,0.0164157331278572
21,1.0,3.9,3.8,1.3,0.016415928391670692
22,1.0999999999999999,3.8,3.9,1.2,0.01641619677393954
23,0.8999999999999999,4.0,3.9,1.2,0.016416260137066596
24,1.0999999999999999,4.0,4.0,1.4000000000000001,0.016416341670896693
25,0.8999999999999999,4.0,3.8,1.3,0.01641670922835998
26,1.0,4.0,4.0,1.0999999999999999,0.016416792075262407
27,1.0999999999999999,3.5999999999999996,4.0,0.8999999999999999,0.016416857081959745
28,0.8,3.9,4.0,0.8,0.0164175254903283
29,0.7000000000000001,4.0,4.0,0.8,0.016417811133365136
30,1.2,3.6999999999999997,4.0,1.0999999999999999,0.016419369240081923
31,1.0,3.6999999999999997,4.0,0.8999999999999999,0.01641954750040663
32,0.8999999999999999,4.0,3.6999999999999997,1.4000000000000001,0.016419774115090893
33,1.2,4.0,3.9,1.5,0.016420085292677702
34,0.8999999999999999,3.9,4.0,0.8999999999999999,0.016420086599013818
35,0.8,4.0,3.9,1.0,0.01642052984047544
36,0.8999999999999999,3.9,4.0,1.0,0.01642054341552521
37,1.0,3.6999999999999997,3.9,1.0,0.01642064199440532
38,0.8999999999999999,3.9,3.9,1.0999999999999999,0.016421110491131496
39,0.7000000000000001,4.0,3.9,0.8999999999999999,0.01642120482325113
40,0.8999999999999999,3.9,3.8,1.2,0.01642159953016512
41,1.0999999999999999,4.0,4.0,1.2,0.01642187504146704
42,1.0,3.8,3.8,1.2,0.016422805205797746
43,1.0999999999999999,3.5000000000000004,4.0,0.8,0.01642293090573998
44,0.7000000000000001,3.9,4.0,0.7000000000000001,0.01642315188327296
45,1.3,3.9,4.0,1.4000000000000001,0.016423632472388934
46,1.0999999999999999,3.9,4.0,1.3,0.016423942880368785
47,0.8,3.8,4.0,0.7000000000000001,0.016424077419250924
48,1.0,3.9,4.0,1.0,0.016424305541400796
49,1.0,3.5999999999999996,4.0,0.8,0.016424422710979433
50,0.8999999999999999,4.0,3.9,1.0999999999999999,0.016424916448832646
51,1.0999999999999999,3.6999999999999997,3.9,1.0999999999999999,0.016425184229217925
52,0.8999999999999999,3.8,4.0,0.8999999999999999,0.01642536184885327
53,1.0,4.0,3.9,1.4000000000000001,0.016425612437764817
54,0.8999999999999999,3.9,3.6999999999999997,1.3,0.01642578078836541
55,1.0,4.0,4.0,1.3,0.016425819771890737
56,1.0999999999999999,4.0,3.8,1.5,0.016425960867174186
57,0.8999999999999999,3.8,3.9,1.0,0.01642596910998349
58,0.8999999999999999,3.8,3.8,1.0999999999999999,0.016426498215414007
59,0.8,4.0,4.0,1.0,0.016426516064245618
60,1.0,3.5999999999999996,3.9,0.8999999999999999,0.016426658527542805
61,0.8,4.0,3.9,1.0999999999999999,0.016427083139851903
62,0.7000000000000001,3.9,3.9,0.8,0.01642726876835237
63,1.2,4.0,4.0,1.5,0.016427517686536487
64,0.8,4.0,3.8,1.2,0.016427572178885533
65,0.8999999999999999,3.8,4.0,0.8,0.016427696529752445
66,0.6,4.0,4.0,0.7000000000000001,0.016427751976009985
67,0.8,4.0,3.6999999999999997,1.3,0.016427983190156946
68,0.8,3.9,3.9,0.8999999999999999,0.01642812283579324
69,0.7000000000000001,3.8,4.0,0.6,0.016428502610576948
70,0.6,4.0,3.9,0.8,0.01642850850324301
71,1.2,3.5999999999999996,4.0,1.0,0.016428760889457897
72,0.7000000000000001,4.0,3.8,1.0,0.016428959816307626
73,1.0999999999999999,3.4000000000000004,4.0,0.7000000000000001,0.01642901696955399
74,1.0,3.5000000000000004,4.0,0.7000000000000001,0.016429306248620445
75,1.0,4.0,3.9,1.2,0.016429318381655626
76,1.2,3.9,3.9,1.4000000000000001,0.016429417159881374
77,1.2,4.0,4.0,1.3,0.016429471402214922
78,0.8,4.0,3.5999999999999996,1.4000000000000001,0.01642964515610551
79,1.0999999999999999,3.9,4.0,1.0999999999999999,0.016429971434556382
80,1.0,3.9,4.0,1.2,0.01643005550765245
81,0.8999999999999999,3.6999999999999997,4.0,0.8,0.016430188448061822
82,0.8999999999999999,3.6999999999999997,3.9,0.8999999999999999,0.016430836014315754
83,0.8,3.6999999999999997,4.0,0.6,0.016431256384069847
84,0.8,3.9,4.0,0.8999999999999999,0.016431286166389687
85,0.8999999999999999,3.6999999999999997,3.8,1.0,0.016431405305270215
86,1.0,3.6999999999999997,3.8,1.0999999999999999,0.016431515195935453
87,1.0999999999999999,3.8,4.0,1.2,0.016431556650104
88,0.8999999999999999,3.8,3.6999999999999997,1.2,0.016431799500024467
89,1.0,3.8,4.0,0.8999999999999999,0.016431835706266048
90,1.0,4.0,3.6999999999999997,1.5,0.016431846452177542
91,0.8,3.9,3.9,1.0,0.01643189342751991
92,0.6,4.0,3.8,0.8999999999999999,0.016431898909524515
93,1.0,3.9,3.9,1.3,0.016431950908081798
94,0.6,3.9,4.0,0.6,0.016432400802080936
95,0.8,3.9,3.8,1.0999999999999999,0.016432422532950425
96,0.8999999999999999,3.9,3.9,1.0,0.01643242991497104
97,1.0,3.5000000000000004,3.9,0.8,0.016432732351323035
98,0.8,3.9,3.6999999999999997,1.2,0.01643287349196208
99,0.8,4.0,3.8,1.0999999999999999,0.016433053928995772
100,0.7000000000000001,3.8,3.9,0.7000000000000001,0.016433443137457638
